date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/27,2379,台新,0039004200300030,4,19,-15,0.79,5,sell
8/27,2379,兆豐證券,7000,44,0,44,2.32,6,buy
8/27,2379,摩根大通,8440,89,101,-12,0.63,6,sell
8/27,2379,中國信託,6160,24,4,20,1.05,7,buy
8/27,2379,康和-台中,8455,0,10,-10,0.53,7,sell
8/27,2379,土銀,1030,17,0,17,0.9,8,buy
8/27,2379,國泰-台中,8882,1,10,-9,0.47,8,sell
8/27,2379,第一金-台中,5382,12,0,12,0.63,9,buy
8/27,2379,元大-四維,9831,0,7,-7,0.37,9,sell
8/27,2379,華南永昌-中正,9359,12,1,11,0.58,10,buy
8/27,2379,凱基-科園,9254,0,7,-7,0.37,10,sell
8/27,2379,華南永昌-林口,9317,13,4,9,0.47,11,buy
8/27,2379,法銀巴黎,8900,0,7,-7,0.37,11,sell
8/27,2379,富邦證券,9600,25,16,9,0.47,12,buy
8/27,2379,國泰-板橋,003800380038004b,5,11,-6,0.32,12,sell
8/27,2379,永豐金-中正,0039004100390055,12,4,8,0.42,13,buy
8/27,2379,台灣企銀-埔墘,0031003100310047,0,6,-6,0.32,13,sell
8/27,2379,新光,8560,13,5,8,0.42,14,buy
8/27,2379,國票-彰化,0037003700390057,0,6,-6,0.32,14,sell
8/27,2379,香港上海匯豐,8960,11,6,5,0.26,15,buy
8/27,2379,永豐金-三重,003900410039004b,6,12,-6,0.32,15,sell
8/27,3034,台灣摩根士丹利,1470,502,120,382,11.37,1,buy
8/27,3034,港商野村,1560,31,918,-887,26.39,1,sell
8/27,3034,凱基-台北,9268,522,140,382,11.37,2,buy
8/27,3034,摩根大通,8440,127,236,-109,3.24,2,sell
8/27,3034,美商高盛,1480,322,119,203,6.04,3,buy
8/27,3034,美林,1440,221,315,-94,2.8,3,sell
8/27,3034,新加坡商瑞銀,1650,284,125,159,4.73,4,buy
8/27,3034,永豐金-匯立,0039004100380031,32,84,-52,1.55,4,sell
8/27,3034,法銀巴黎,8900,68,0,68,2.02,5,buy
8/27,3034,富邦證券,9600,1,50,-49,1.46,5,sell
8/27,3034,元大證券,9800,161,121,40,1.19,6,buy
8/27,3034,花旗環球,1590,65,106,-41,1.22,6,sell
8/27,3034,港商麥格理,1360,35,8,27,0.8,7,buy
8/27,3034,兆豐證券,7000,0,40,-40,1.19,7,sell
8/27,3034,凱基-內埔,9225,22,0,22,0.65,8,buy
8/27,3034,新光,8560,13,31,-18,0.54,8,sell
8/27,3034,元大-中山北路,0039003800300061,21,0,21,0.62,9,buy
8/27,3034,凱基,9200,1,16,-15,0.45,9,sell
8/27,3034,群益金鼎,9100,44,24,20,0.6,10,buy
8/27,3034,台新-松德,0039004200320061,4,15,-11,0.33,10,sell
8/27,3034,元大-金華,9878,14,1,13,0.39,11,buy
8/27,3034,富邦-台北,9623,3,13,-10,0.3,11,sell
8/27,3034,台新-中港,0039004200320069,12,0,12,0.36,12,buy
8/27,3034,元大-成功,003900380039004c,1,10,-9,0.27,12,sell
8/27,3034,玉山-雙和,8841,19,8,11,0.33,13,buy
8/27,3034,元大-新竹經國,9859,3,12,-9,0.27,13,sell
8/27,3034,永全-南崁,6451,11,0,11,0.33,14,buy
8/27,3034,中國信託-永康,6163,0,8,-8,0.24,14,sell
8/27,3034,統一-城中,5854,10,0,10,0.3,15,buy
8/27,3034,永豐金-亞灣,0039004100390061,0,8,-8,0.24,15,sell
8/27,2412,花旗環球,1590,712,71,641,11.42,1,buy
8/27,2412,新加坡商瑞銀,1650,59,675,-616,10.97,1,sell
8/27,2412,中國信託,6160,545,3,542,9.65,2,buy
8/27,2412,康和,8450,0,600,-600,10.69,2,sell
8/27,2412,凱基-台北,9268,598,206,392,6.98,3,buy
8/27,2412,永豐金證券,0039004100300030,19,504,-485,8.64,3,sell
8/27,2412,合庫-台南,1022,403,31,372,6.63,4,buy
8/27,2412,美林,1440,43,520,-477,8.5,4,sell
8/27,2412,台新-信義,0039004200320048,354,130,224,3.99,5,buy
8/27,2412,摩根大通,8440,464,871,-407,7.25,5,sell
8/27,2412,富邦證券,9600,201,0,201,3.58,6,buy
8/27,2412,台灣摩根士丹利,1470,99,308,-209,3.72,6,sell
8/27,2412,美商高盛,1480,296,167,129,2.3,7,buy
8/27,2412,台新,0039004200300030,12,211,-199,3.54,7,sell
8/27,2412,臺銀-臺南,1042,102,0,102,1.82,8,buy
8/27,2412,富邦-新店,9661,4,74,-70,1.25,8,sell
8/27,2412,香港上海匯豐,8960,65,0,65,1.16,9,buy
8/27,2412,富邦-竹科,0039003600320043,8,71,-63,1.12,9,sell
8/27,2412,群益金鼎-永和,003900310038004a,250,200,50,0.89,10,buy
8/27,2412,華南永昌-板橋,9349,1,60,-59,1.05,10,sell
8/27,2412,永豐金-匯立,0039004100380031,62,13,49,0.87,11,buy
8/27,2412,華南永昌,9300,0,30,-30,0.53,11,sell
8/27,2412,港商野村,1560,37,0,37,0.66,12,buy
8/27,2412,永豐金-內湖,0039004100390067,1,29,-28,0.5,12,sell
8/27,2412,國泰-板橋,003800380038004b,25,0,25,0.45,13,buy
8/27,2412,台新-三民,0039004200310033,4,30,-26,0.46,13,sell
8/27,2412,永豐金-永康,0039004100390063,72,48,24,0.43,14,buy
8/27,2412,凱基-站前,0039003200300046,0,21,-21,0.37,14,sell
8/27,2412,新光,8560,26,5,21,0.37,15,buy
8/27,2412,富邦-南員林,0039003600310052,0,20,-20,0.36,15,sell
